sentence_id	text	translation	lemma	translation_token	translation_lemma	alignment
d000.s000	U.N. group drafts plan to reduce emissions	联合国集团起草减排计划	u.n. group draft plan to reduce emission	联合国 集团 起草 减排 计划	联合国 集团 起草 减排 计划	[(0, 0), (1, 1), (2, 2), (3, 4), (4, 3)]
d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	联合国主办的气候大会--迄今为止以不守规矩的姿态和相互指责为特点--周五再次受到关注，发布了一份文件，概述了未来40年雄心勃勃的温室气体减排目标，工业化国家在短期内承担了大部分负担。	the u.n.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renew focus friday with the release of a document outline ambitious greenhouse-gas reduction over the next 40 year , with industrialize nation shoulder most of the burden in the near term .	联合国 主办 的 气候 大会 -- 迄今 为止 以 不 守 规矩 的 姿态 和 相互 指责 为 特点 -- 周五 再次 受到 关注 ， 发布 了 一 份 文件 ， 概述 了 未来 40年 雄心勃勃 的 温室 气体 减排 目标 ， 工业化 国家 在 短期 内 承担 了 大部分 负担 。	联合国 主办 的 气候 大会 -- 迄今 为止 以 不 守 规矩 的 姿态 和 相互 指责 为 特点 -- 周五 再次 受到 关注 ， 发布 了 一 份 文件 ， 概述 了 未来 40年 雄心勃勃 的 温室 气体 减排 目标 ， 工业化 国家 在 短期 内 承担 了 大部分 负担 。	[(0, 0), (1, 1), (2, 3), (3, 4), (4, 5), (5, 18), (6, 6), (8, 8), (9, 9), (10, 13), (11, 14), (12, 15), (13, 16), (14, 19), (15, 22), (16, 21), (17, 23), (18, 20), (21, 25), (22, 12), (23, 27), (24, 29), (25, 31), (26, 35), (27, 37), (28, 39), (31, 33), (33, 34), (36, 42), (37, 43), (38, 47), (39, 49), (40, 36), (42, 50), (43, 48), (45, 45), (47, 51)]
d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	该文本可以为监管温室气体的最终政治协议提供基础，它强调了剩余的障碍，同时也指出了前进的道路。	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	该 文本 可以 为 监管 温室 气体 的 最终 政治 协议 提供 基础 ， 它 强调 了 剩余 的 障碍 ， 同时 也 指出 了 前进 的 道路 。	该 文本 可以 为 监管 温室 气体 的 最终 政治 协议 提供 基础 ， 它 强调 了 剩余 的 障碍 ， 同时 也 指出 了 前进 的 道路 。	[(0, 0), (1, 1), (2, 28), (4, 2), (7, 12), (8, 3), (9, 7), (10, 8), (11, 9), (12, 10), (13, 11), (14, 4), (15, 6), (17, 15), (19, 17), (20, 19), (23, 22), (24, 14), (25, 23), (26, 26), (27, 27), (29, 28)]
d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	但它被认为是时间不多的谈判的重要进展，下周将有100多位世界领导人抵达哥本哈根。	but it be see as a important advance in a negotiation that be run out of time , with more than 100 world leader arrive in copenhagen next week .	但 它 被 认为 是 时间 不 多 的 谈判 的 重要 进展 ， 下周 将 有 100多 位 世界 领导人 抵达 哥本哈根 。	但 它 被 认为 是 时间 不 多 的 谈判 的 重要 进展 ， 下周 将 有 100多 位 世界 领导人 抵达 哥本哈根 。	[(0, 0), (1, 1), (5, 15), (6, 11), (7, 12), (8, 7), (9, 8), (10, 9), (15, 10), (16, 5), (18, 16), (21, 17), (22, 19), (23, 20), (24, 21), (26, 22), (27, 14), (29, 23)]
d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	该文本由联合国特设工作组伪造，没有提及富裕国家会在短期和长期内给穷国多少钱来应对全球变暖。	forge by a u.n. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	该 文本 由 联合国 特设 工作组 伪造 ， 没有 提及 富裕 国家 会 在 短期 和 长期 内 给 穷国 多少 钱 来 应对 全球 变暖 。	该 文本 由 联合国 特设 工作组 伪造 ， 没有 提及 富裕 国家 会 在 短期 和 长期 内 给 穷国 多少 钱 来 应对 全球 变暖 。	[(1, 2), (2, 12), (4, 4), (5, 5), (7, 0), (8, 1), (10, 9), (11, 8), (12, 20), (14, 21), (15, 10), (16, 11), (18, 18), (19, 19), (21, 22), (22, 23), (24, 25), (26, 24), (27, 14), (28, 15), (29, 16), (30, 17), (31, 26)]
d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	它为关键问题提供了一系列选择，包括发达经济体和主要新兴经济体如何削减碳排放，以及政策制定者愿意忍受的全球气温上升上限。	and it provide a range of option for the key question , include how developed and major emerge economy would cut they carbon output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	它 为 关键 问题 提供 了 一系列 选择 ， 包括 发达 经济体 和 主要 新兴 经济体 如何 削减 碳 排放 ， 以及 政策 制定者 愿意 忍受 的 全球 气温 上升 上限 。	它 为 关键 问题 提供 了 一系列 选择 ， 包括 发达 经济体 和 主要 新兴 经济体 如何 削减 碳 排放 ， 以及 政策 制定者 愿意 忍受 的 全球 气温 上升 上限 。	[(1, 0), (2, 4), (3, 6), (6, 7), (7, 1), (9, 2), (10, 3), (12, 9), (13, 16), (14, 10), (15, 12), (16, 13), (17, 14), (18, 15), (20, 17), (22, 18), (23, 19), (25, 21), (28, 17), (30, 15), (31, 26), (32, 27), (33, 28), (36, 23), (39, 24), (40, 29), (41, 25), (42, 31)]
d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .	塞拉俱乐部的华盛顿高级代表约翰·科伊特（ John Coequyt ）说，这给了这个过程很大的灵活性。	it give a lot of flexibility to the process , say john coequyt , senior washington representative for the sierra club .	塞拉俱乐部 的 华盛顿 高级 代表 约翰·科伊特 （ John Coe quyt ） 说 ， 这 给 了 这个 过程 很 大 的 灵活性 。	塞拉俱乐部 的 华盛顿 高级 代表 约翰·科伊特 （ John Coe quyt ） 说 ， 这 给 了 这个 过程 很 大 的 灵活性 。	[(2, 1), (3, 18), (4, 20), (5, 21), (6, 11), (7, 13), (8, 17), (11, 7), (12, 9), (14, 3), (15, 2), (16, 4), (17, 14), (19, 0), (20, 0), (21, 22)]
d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''	起草这份六页文件的迈克尔·扎米特·库塔哈尔（ Michael Zammit Cutajar ）精简了一份180页的谈判文本，重点介绍了联合国最高气候官员伊沃·德布尔（ Yvo de Boer ）所描述的“大局”。	michael zammit cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the u.n. 's top climate official , yvo de boer , describe as `` the big picture . ''	起草 这 份 六 页 文件 的 迈克尔·扎米特·库塔哈尔 （ Michael Zammit Cutajar ） 精简 了 一 份 180 页 的 谈判 文本 ， 重点 介绍 了 联合国 最 高 气候 官员 伊沃·德布尔 （ Yvo de Boer ） 所 描述 的 “ 大局 ” 。	起草 这 份 六 页 文件 的 迈克尔·扎米特·库塔哈尔 （ Michael Zammit Cutajar ） 精简 了 一 份 180 页 的 谈判 文本 ， 重点 介绍 了 联合国 最 高 气候 官员 伊沃·德布尔 （ Yvo de Boer ） 所 描述 的 “ 大局 ” 。	[(0, 7), (1, 7), (2, 11), (5, 0), (6, 1), (7, 3), (8, 5), (10, 13), (12, 15), (13, 17), (14, 20), (15, 21), (16, 14), (17, 23), (18, 24), (22, 19), (23, 28), (24, 29), (25, 30), (27, 33), (28, 34), (29, 35), (31, 38), (33, 40), (34, 41), (37, 43), (38, 42)]
d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	它显示了可能达成的协议的大纲，其中工业国家到2020年将集体将其排放量与1990年的水平相比减少25 ％至45 ％ ，而主要发展中国家将在同期减少15 ％至30 ％。	it show the outline for a possible deal , in which industrial nation would collectively cut they emission by 2020 by 25 to 45 percent compare with 1990 level , while major developing_country would reduce theirs during the same period by 15 to 30 percent .	它 显示 了 可能 达成 的 协议 的 大纲 ， 其中 工业 国家 到 2020年 将 集体 将 其 排放量 与 1990年 的 水平 相比 减少 25 ％ 至 45 ％ ， 而 主要 发展中国家 将 在 同期 减少 15 ％ 至 30 ％ 。	它 显示 了 可能 达成 的 协议 的 大纲 ， 其中 工业 国家 到 2020年 将 集体 将 其 排放量 与 1990年 的 水平 相比 减少 25 ％ 至 45 ％ ， 而 主要 发展中国家 将 在 同期 减少 15 ％ 至 30 ％ 。	[(0, 0), (1, 1), (3, 8), (4, 2), (5, 5), (6, 3), (7, 6), (9, 10), (12, 12), (15, 38), (16, 18), (17, 19), (18, 13), (21, 26), (22, 41), (23, 29), (25, 24), (28, 23), (31, 33), (32, 34), (34, 25), (37, 37), (41, 39), (42, 28), (43, 42), (45, 44)]
d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .	到2050年，这些国家将共同减少50%至95%的排放量。	together , the country would cut emission between 50 and 95 percent by 2050 .	到 2050年 ， 这些 国家 将 共同 减少 50% 至 95% 的 排放量 。	到 2050年 ， 这些 国家 将 共同 减少 50% 至 95% 的 排放量 。	[(0, 6), (2, 3), (3, 4), (5, 7), (6, 12), (8, 8), (9, 9), (10, 10), (12, 0), (14, 13)]
