bn:00000127n	小时
bn:00000728n	条约
bn:00000739n	报告
bn:00000739n	报导
bn:00000942n	顶
bn:00001127n	行动
bn:00001135n	行动
bn:00001171n	活动家
bn:00001561n	优势
bn:00001561n	好处
bn:00002178n	打算
bn:00002181n	标题
bn:00002362n	伊拉克
bn:00002954n	洪水
bn:00003132n	选项
bn:00003263n	气氛
bn:00003340n	罚款
bn:00003341n	美国
bn:00003365n	华盛顿
bn:00003801n	分析家
bn:00003802n	分析家
bn:00004456n	受访者
bn:00005019n	上诉
bn:00005053n	掌声
bn:00005105n	技术
bn:00005599n	争议
bn:00005600n	论点
bn:00005600n	论调
bn:00005601n	辩论
bn:00005732n	军方
bn:00005886n	到来
bn:00005917n	砷
bn:00006143n	手腕
bn:00006383n	方面
bn:00006823n	氢
bn:00006845n	磷
bn:00006890n	碳
bn:00006901n	氮
bn:00006912n	氧
bn:00007047n	态度
bn:00007051n	律师
bn:00007085n	拍卖
bn:00007299n	政府
bn:00007449n	平均
bn:00007797n	支持
bn:00007799n	支持
bn:00007854n	细菌
bn:00008364n	银行
bn:00008419n	破产
bn:00008568n	交易
bn:00008694n	桶
bn:00008786n	基础
bn:00008875n	篮子
bn:00009654n	行为
bn:00009655n	行为
bn:00009664n	重量级
bn:00009677n	生物
bn:00009677n	生物体
bn:00009905n	好处
bn:00010203n	印度
bn:00010518n	生化
bn:00011974n	债券
bn:00012042n	奖金
bn:00012059n	书
bn:00012213n	周边
bn:00012786n	巴西
bn:00013179n	伦敦
bn:00013194n	英镑
bn:00013640n	预算
bn:00013941n	负担
bn:00014152n	交易
bn:00014160n	公司
bn:00014710n	月
bn:00014711n	周
bn:00015056n	候选人
bn:00015410n	能力
bn:00015496n	资本
bn:00015501n	华盛顿
bn:00015917n	卡片
bn:00016140n	马戏团
bn:00016286n	表现
bn:00016401n	案件
bn:00016403n	案
bn:00016403n	案件
bn:00016403n	案例
bn:00016448n	现金
bn:00016756n	中国
bn:00017153n	焦点
bn:00017234n	世纪
bn:00017517n	主席
bn:00017562n	对手
bn:00017562n	挑战者
bn:00017615n	锦标赛
bn:00017621n	机会
bn:00017651n	变化
bn:00017904n	图
bn:00018096n	化学
bn:00018105n	元素
bn:00019403n	索赔
bn:00019742n	克利夫兰
bn:00019763n	客户
bn:00019780n	气候
bn:00019781n	心情
bn:00019781n	情绪
bn:00019848n	时
bn:00020039n	俱乐部
bn:00021015n	委员会
bn:00021034n	承诺
bn:00021207n	民主
bn:00021286n	企业
bn:00021286n	公司
bn:00021338n	比赛
bn:00021395n	一部分
bn:00021395n	部分
bn:00021538n	浓度
bn:00021584n	决定
bn:00021644n	地位
bn:00021721n	会议
bn:00021723n	会议
bn:00021743n	信心
bn:00021769n	纠纷
bn:00021816n	拥挤
bn:00021844n	国会
bn:00021846n	国会
bn:00021904n	康涅狄格州
bn:00021958n	共识
bn:00021961n	影响
bn:00021961n	效果
bn:00021961n	结果
bn:00021976n	保守派
bn:00022026n	警察
bn:00022028n	稳定
bn:00022095n	消费者
bn:00022227n	合同
bn:00022274n	贡献者
bn:00022479n	哥本哈根
bn:00022845n	纪律
bn:00022995n	费用
bn:00023236n	国
bn:00023236n	国家
bn:00023301n	法院
bn:00023496n	行业
bn:00023807n	犯罪
bn:00023807n	罪行
bn:00023844n	危机
bn:00023858n	批评者
bn:00024112n	石油
bn:00024417n	杯子
bn:00024712n	互联网
bn:00025170n	危险
bn:00025236n	夜晚
bn:00025364n	女儿
bn:00025567n	交易
bn:00025916n	短缺
bn:00025965n	水平
bn:00025965n	程度
bn:00025966n	水平
bn:00025966n	点
bn:00026025n	代表
bn:00026603n	命运
bn:00026684n	德国
bn:00026695n	发展
bn:00026838n	谈判
bn:00027022n	区别
bn:00027206n	晚宴
bn:00027206n	晚餐
bn:00027207n	晚宴
bn:00027366n	经理
bn:00027862n	多样性
bn:00028015n	文件
bn:00028249n	大门
bn:00028548n	草案
bn:00028863n	干旱
bn:00029239n	义务
bn:00029416n	工资
bn:00029424n	世界
bn:00029667n	经济学家
bn:00029678n	经济
bn:00029680n	价值
bn:00029708n	厄瓜多尔
bn:00029774n	编辑
bn:00029806n	学生
bn:00030015n	驱逐令
bn:00030616n	就业
bn:00030825n	能源
bn:00030861n	英格兰
bn:00031074n	环境
bn:00031605n	西班牙
bn:00031641n	机构
bn:00031888n	欧元
bn:00031896n	欧洲
bn:00031998n	晚间
bn:00032021n	活动
bn:00032300n	支出
bn:00032306n	经验
bn:00032308n	经验
