0	丝米 分 零点五
1	一推六二五 对苯醌 邻苯醌
10	万里 九折 十
100	亿 合 地地道道 对本 百兆 纯棉
1000baset	千兆
100baset	百兆
100meter	百米赛跑
10th	小春 酉
11	十一 午时 子时
11th	戌
12	十二
12th	亥 四一二
12volt	点烟器
12yard	十二码
13	丑时 十三 未时 豆蔻年华
14	十四
15	十五 笄
15th	八一五 奎 月半 望
16	二八 十六
16bit	十六位元
16character	十六字诀
16yearold	二八佳人
17	十七
18	十八 桶装水
18wheeler	拖挂车 联结车
19	十九
1954	和平共处五项原则
1992	九二共识
1st	一甲 合 头等舱 子 晬
2	二 舫
20	二十
200	皕
2000	两千年
20th	二十世纪
21st	二十一世纪 甲申
25th	地漏
28spotted	茄二十八星瓢虫
2d	二维码
2in1	二合一
2nd	丑 二号 二甲 初二 商
3	三 三田
30	三十 钧
32bit	三十二位元
35	寅时 晡 申时
360	环幕
37th	庚子
38th	三八线 三十八度线
3by3	九宫格
3d	3D打印 三维 三维空间 沙盘 立体摄像机 立体电影院
3pyridinecarboxylic	烟酸
3rd	三甲 寅
3year	豜
4	四
40	四十
41st	甲辰
4th	卯 徵
4x4	四驱车
5	五
5050	五五 对半
51	五一
51st	甲寅
57	卯时 酉时 酉牌时分
5th	羽 辰
6	六
60	六十 耳顺之年 花甲 花甲之年
64bit	六十四位元
6th	巳
7	七 七喜
70	七十
76	蔀
77th	喜寿
79	戌时 辰时
7eleven	统一 统一超
7th	初秋 午
8	八点档 咫
80	八十
8bit	八位元
8th	仲秋 未
9	九
90s	九零后
91	巫蛊之祸
911	亥时 巳时
9am	996
9th	九九重阳 申 重阳 重阳节
9valent	九价
