sentence_id	text	translation	lemma	translation_token	translation_lemma
d000.s000	U.N. group drafts plan to reduce emissions	减少排放的联合国小组计划草案	u.n. group draft plan to reduce emission	减少 排放 的 联合国 小组 计划 草案	减少 排放 的 联合国 小组 计划 草案
d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	在联合国赞助下召开的气候会议 -- -- 其特点是迄今以不守规矩的姿态和相互指责为特点 -- -- 于星期五重新成为焦点,发表了一份文件,概述了今后40年雄心勃勃的温室气体减排目标,工业化国家在近期内承担了大部分负担。	the u.n.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renew focus friday with the release of a document outline ambitious greenhouse-gas reduction over the next 40 year , with industrialize nation shoulder most of the burden in the near term .	在 联合国 赞助 下 召开 的 气候 会议 -- -- 其 特点 是 迄今 以 不 守 规矩 的 姿态 和 相互 指责 为 特点 -- -- 于 星期五 重新 成为 焦点 , 发表 了 一 份 文件 , 概述 了 今后 40年 雄心勃勃 的 温室 气体 减排 目标 , 工业化 国家 在 近期 内 承担 了 大部分 负担 。	在 联合国 赞助 下 召开 的 气候 会议 -- -- 其 特点 是 迄今 以 不 守 规矩 的 姿态 和 相互 指责 为 特点 -- -- 于 星期五 重新 成为 焦点 , 发表 了 一 份 文件 , 概述 了 今后 40年 雄心勃勃 的 温室 气体 减排 目标 , 工业化 国家 在 近期 内 承担 了 大部分 负担 。
d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	该案文可以为最后的政治协议提供基础,以管制温室气体。 案文强调了仍然存在的障碍,因为它指明了前进的道路。	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	该 案文 可以 为 最后 的 政治 协议 提供 基础 , 以 管制 温室 气体 。 案文 强调 了 仍然 存在 的 障碍 , 因为 它 指明 了 前进 的 道路 。	该 案文 可以 为 最后 的 政治 协议 提供 基础 , 以 管制 温室 气体 。 案文 强调 了 仍然 存在 的 障碍 , 因为 它 指明 了 前进 的 道路 。
d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	但是,这被视为一个时间不多的谈判的重要进展,下周100多位世界领导人来到哥本哈根。	but it be see as a important advance in a negotiation that be run out of time , with more than 100 world leader arrive in copenhagen next week .	但是 , 这 被 视为 一个 时间 不 多 的 谈判 的 重要 进展 , 下 周100多 位 世界 领导人 来到 哥本哈根 。	但是 , 这 被 视为 一个 时间 不 多 的 谈判 的 重要 进展 , 下 周100多 位 世界 领导人 来到 哥本哈根 。
d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	案文没有提及富裕国家能给穷国多少钱来应付全球变暖的短期和长期问题。	forge by a u.n. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	案文 没有 提及 富裕 国家 能 给 穷国 多少 钱 来 应付 全球 变暖 的 短期 和 长期 问题 。	案文 没有 提及 富裕 国家 能 给 穷国 多少 钱 来 应付 全球 变暖 的 短期 和 长期 问题 。
d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	它为关键问题提供了一系列选项, 包括发达国家和主要新兴经济体如何削减碳产出, 以及决策者愿意容忍的全球气温上升上限为何。	and it provide a range of option for the key question , include how developed and major emerge economy would cut they carbon output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	它 为 关键 问题 提供 了 一系列 选项 , 包括 发达 国家 和 主要 新兴 经济体 如何 削减 碳 产出 , 以及 决策者 愿意 容忍 的 全球 气温 上升 上限 为何 。	它 为 关键 问题 提供 了 一系列 选项 , 包括 发达 国家 和 主要 新兴 经济体 如何 削减 碳 产出 , 以及 决策者 愿意 容忍 的 全球 气温 上升 上限 为何 。
d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .	华盛顿山区俱乐部高级代表John Coequyt说,	it give a lot of flexibility to the process , say john coequyt , senior washington representative for the sierra club .	华盛顿 山区 俱乐部 高级 代表 John Coe quyt 说 ,	华盛顿 山区 俱乐部 高级 代表 John Coe quyt 说 ,
d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''	起草六页文件的Michael Zammit Cutajar整理了一份180页的谈判案文,	michael zammit cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the u.n. 's top climate official , yvo de boer , describe as `` the big picture . ''	起草 六 页 文件 的 Michael Zammit Cutajar 整理 了 一 份 180 页 的 谈判 案文 ,	起草 六 页 文件 的 Michael Zammit Cutajar 整理 了 一 份 180 页 的 谈判 案文 ,
d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	其中工业国将在2020年前将其排放量与1990年的水平相比共减少25%至45%, 而主要发展中国家将在同期将其排放量减少15%至30%。	it show the outline for a possible deal , in which industrial nation would collectively cut they emission by 2020 by 25 to 45 percent compare with 1990 level , while major developing_country would reduce theirs during the same period by 15 to 30 percent .	其中 工业国 将 在 2020年 前 将 其 排放量 与 1990年 的 水平 相比 共 减少 25% 至 45% , 而 主要 发展中国家 将 在 同期 将 其 排放量 减少 15% 至 30% 。	其中 工业国 将 在 2020年 前 将 其 排放量 与 1990年 的 水平 相比 共 减少 25% 至 45% , 而 主要 发展中国家 将 在 同期 将 其 排放量 减少 15% 至 30% 。
d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .	到2050年, 这些国家将共同削减50%至95%的排放量。	together , the country would cut emission between 50 and 95 percent by 2050 .	到 2050年 , 这些 国家 将 共同 削减 50% 至 95% 的 排放量 。	到 2050年 , 这些 国家 将 共同 削减 50% 至 95% 的 排放量 。
