sentence_id	text	translation	lemma	translation_token	translation_lemma	alignment
d000.s000	U.N. group drafts plan to reduce emissions	Grupo de las Naciones Unidas redacta un plan para reducir las emisiones	u.n. group draft plan to reduce emission	Grupo de las Naciones Unidas redacta un plan para reducir las emisiones	Grupo de el Naciones Unidas redactar uno plan para reducir el emisión	[(0, 1), (1, 0), (2, 5), (3, 7), (4, 8), (5, 9), (6, 11)]
d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	La conferencia sobre el clima patrocinada por las Naciones Unidas, caracterizada hasta ahora por posturas ingobernables y recriminaciones mutuas, se volvió a centrar el viernes con la publicación de un documento en el que se esbozan las ambiciosas reducciones de gases de efecto invernadero en los próximos 40 años , y las naciones industrializadas asumirán la mayor parte de la carga a corto plazo .	the u.n.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renew focus friday with the release of a document outline ambitious greenhouse-gas reduction over the next 40 year , with industrialize nation shoulder most of the burden in the near term .	La conferencia sobre el clima patrocinada por las Naciones Unidas , caracterizada hasta ahora por posturas ingobernables y recriminaciones mutuas , se volvió a centrar el viernes con la publicación de un documento en el que se esbozan las ambiciosas reducciones de gases de efecto invernadero en los próximos 40 años , y las naciones industrializadas asumirán la mayor parte de la carga a corto plazo .	el conferencia sobre el clima patrocinado por el Naciones Unidas , caracterizado hasta ahora por postura ingobernabl y recriminación mutuo , él volver a centrar el viernes con el publicación de uno documento en el que él esbozar el ambicioso reducción de gas de efecto invernadero en el próximo 40 año , y el nación industrializado asumir el mayor parte de el carga a corto plazo .	[(0, 0), (1, 5), (2, 4), (3, 1), (5, 11), (6, 12), (6, 13), (7, 12), (7, 13), (8, 14), (9, 16), (10, 15), (11, 17), (12, 19), (13, 18), (16, 22), (17, 24), (18, 26), (19, 27), (20, 28), (21, 29), (22, 30), (23, 31), (24, 32), (25, 36), (26, 39), (27, 45), (28, 40), (29, 2), (30, 25), (31, 48), (32, 49), (33, 50), (34, 51), (35, 6), (36, 55), (37, 54), (38, 56), (39, 58), (40, 60), (41, 38), (42, 62), (43, 46), (44, 47), (45, 64), (46, 65), (47, 66)]
d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	El texto , que podría sentar las bases de un acuerdo político definitivo para regular los gases de efecto invernadero , pone de relieve los obstáculos que subsisten tanto como ilumina un camino a seguir .	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	El texto , que podría sentar las bases de un acuerdo político definitivo para regular los gases de efecto invernadero , pone de relieve los obstáculos que subsisten tanto como ilumina un camino a seguir .	el texto , que poder sentar el base de uno acuerdo político definitivo para regular el gas de efecto invernadero , poner de relieve el obstáculo que subsistir tanto como iluminar uno camino a seguir .	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (8, 33), (9, 9), (10, 12), (11, 11), (12, 10), (13, 13), (14, 14), (15, 19), (16, 20), (17, 21), (18, 24), (19, 34), (20, 25), (21, 26), (23, 29), (25, 30), (26, 31), (27, 32), (29, 35)]
d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	Pero fue visto como un avance importante en una negociación que se está quedando sin tiempo, con más de 100 líderes mundiales llegando a Copenhague la próxima semana.	but it be see as a important advance in a negotiation that be run out of time , with more than 100 world leader arrive in copenhagen next week .	Pero fue visto como un avance importante en una negociación que se está quedando sin tiempo , con más de 100 líderes mundiales llegando a Copenhague la próxima semana .	pero ser ver como uno avance importante en uno negociación que él estar quedar sin tiempo , con más de 100 líder mundial llegar a Copenhague el próximo semana .	[(0, 0), (1, 11), (2, 1), (3, 2), (4, 3), (5, 4), (6, 6), (7, 5), (8, 7), (9, 8), (10, 9), (11, 10), (12, 12), (13, 13), (14, 14), (15, 14), (16, 15), (17, 16), (18, 17), (19, 18), (20, 19), (21, 20), (22, 22), (23, 21), (24, 23), (25, 24), (26, 25), (27, 27), (28, 28), (29, 29)]
d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	Forjado por un grupo de trabajo ad-hoc de la ONU , el texto no dice cuánto dinero darían los países ricos a los pobres para hacer frente al calentamiento global a corto y largo plazo .	forge by a u.n. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	Forjado por un grupo de trabajo ad-hoc de la ONU , el texto no dice cuánto dinero darían los países ricos a los pobres para hacer frente al calentamiento global a corto y largo plazo .	forjado por uno grupo de trabajo ad-hoc de el ONU , el texto no decir cuánto dinero dar el país rico a el pobre para hacer frente al calentamiento global a corto y largo plazo .	[(0, 25), (1, 1), (2, 2), (3, 8), (4, 6), (5, 3), (5, 4), (5, 5), (6, 10), (7, 11), (8, 12), (9, 7), (11, 13), (12, 15), (13, 15), (14, 16), (15, 20), (16, 19), (18, 17), (19, 23), (20, 22), (21, 24), (23, 26), (24, 28), (24, 29), (25, 30), (26, 18), (27, 31), (28, 32), (29, 33), (30, 34), (31, 35)]
d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	Y ofrece una gama de opciones para las cuestiones clave , incluyendo cómo las principales economías emergentes y desarrolladas reducirían su producción de carbono , y cuál sería el límite superior del aumento de la temperatura mundial que los responsables de la formulación de políticas estarían dispuestos a tolerar .	and it provide a range of option for the key question , include how developed and major emerge economy would cut they carbon output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	Y ofrece una gama de opciones para las cuestiones clave , incluyendo cómo las principales economías emergentes y desarrolladas reducirían su producción de carbono , y cuál sería el límite superior del aumento de la temperatura mundial que los responsables de la formulación de políticas estarían dispuestos a tolerar .	y ofrecer uno gama de opción para el cuestión clave , incluir cómo el principal economía emergente y desarrollado reducir su producción de carbono , y cuál ser el límite superior del aumento de el temperatura mundial que el responsable de el formulación de política estar dispuesto a tolerar .	[(0, 0), (2, 1), (3, 2), (4, 3), (5, 4), (6, 5), (7, 6), (8, 7), (9, 9), (10, 8), (11, 10), (12, 11), (13, 12), (14, 18), (15, 17), (16, 14), (17, 16), (18, 15), (20, 19), (21, 20), (22, 23), (23, 21), (24, 24), (25, 25), (26, 26), (28, 27), (29, 28), (30, 29), (31, 33), (32, 36), (33, 35), (34, 32), (35, 37), (36, 44), (38, 45), (39, 46), (40, 47), (41, 48), (42, 49)]
d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .	Da mucha flexibilidad al proceso, dijo John Coequyt, representante senior de Washington para el Sierra Club.	it give a lot of flexibility to the process , say john coequyt , senior washington representative for the sierra club .	Da mucha flexibilidad al proceso , dijo John Coequyt , representante senior de Washington para el Sierra Club .	dar mucho flexibilidad al proceso , decir John Coequyt , representante senior de Washington para el Sierra Club .	[(1, 0), (2, 1), (3, 1), (4, 12), (5, 2), (6, 3), (8, 4), (9, 5), (10, 6), (11, 7), (12, 8), (13, 9), (14, 11), (15, 13), (16, 10), (17, 14), (18, 15), (19, 16), (20, 17), (21, 18)]
d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''	Michael Zammit Cutajar , quien redactó el documento de seis páginas , redujo un texto de negociación de 180 páginas para centrarse en lo que el alto funcionario de clima de la ONU , Yvo de Boer , describió como `` el panorama general ''.	michael zammit cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the u.n. 's top climate official , yvo de boer , describe as `` the big picture . ''	Michael Zammit Cutajar , quien redactó el documento de seis páginas , redujo un texto de negociación de 180 páginas para centrarse en lo que el alto funcionario de clima de la ONU , Yvo de Boer , describió como ` ` el panorama general '' .	Michael Zammit Cutajar , quien redactar el documento de seis página , reducir uno texto de negociación de 180 página para centrar_él en él que el alto funcionario de clima de el ONU , Yvo de Boer , describir como ` ` el panorama general '' .	[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 9), (8, 7), (9, 11), (10, 12), (11, 12), (12, 13), (13, 17), (14, 16), (15, 14), (16, 20), (17, 21), (18, 22), (19, 24), (20, 25), (21, 32), (22, 31), (23, 26), (24, 29), (25, 27), (26, 33), (27, 34), (28, 35), (29, 36), (30, 37), (31, 38), (32, 39), (34, 42), (35, 43), (35, 44), (36, 43), (36, 44), (37, 46), (38, 45)]
d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	Muestra las líneas generales de un posible acuerdo , en el que las naciones industriales reducirían colectivamente sus emisiones para 2020 en un 25 a 45 por ciento en comparación con los niveles de 1990 , mientras que los principales países en desarrollo reducirían las suyas durante el mismo período en un 15 a 30 por ciento .	it show the outline for a possible deal , in which industrial nation would collectively cut they emission by 2020 by 25 to 45 percent compare with 1990 level , while major developing_country would reduce theirs during the same period by 15 to 30 percent .	Muestra las líneas generales de un posible acuerdo , en el que las naciones industriales reducirían colectivamente sus emisiones para 2020 en un 25 a 45 por ciento en comparación con los niveles de 1990 , mientras que los principales países en desarrollo reducirían las suyas durante el mismo período en un 15 a 30 por ciento .	mostrar el línea general de uno posible acuerdo , en el que el nación industrial reducir colectivamente su emisión para 2020 en uno 25 a 45 por ciento en comparación con el nivel de 1990 , mientras que el principal país en desarrollo reducir el suyo durante el mismo período en uno 15 a 30 por ciento .	[(1, 0), (2, 1), (3, 2), (4, 26), (5, 5), (6, 6), (7, 7), (8, 8), (9, 9), (10, 11), (11, 14), (12, 13), (14, 16), (15, 15), (16, 22), (17, 18), (18, 19), (19, 20), (20, 21), (21, 23), (22, 24), (23, 25), (24, 27), (25, 29), (26, 30), (27, 34), (28, 32), (29, 35), (30, 36), (31, 39), (32, 40), (32, 41), (32, 42), (34, 43), (35, 45), (36, 46), (37, 47), (38, 48), (39, 49), (40, 50), (41, 52), (42, 53), (43, 54), (44, 55), (45, 57)]
d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .	Juntos , los países reducirían las emisiones entre el 50 y el 95 por ciento para 2050 .	together , the country would cut emission between 50 and 95 percent by 2050 .	Juntos , los países reducirían las emisiones entre el 50 y el 95 por ciento para 2050 .	Juntos , el país reducir el emisión entre el 50 y el 95 por ciento para 2050 .	[(1, 1), (2, 2), (3, 3), (5, 4), (6, 6), (7, 7), (8, 9), (9, 10), (10, 12), (11, 13), (11, 14), (12, 15), (13, 16), (14, 17)]
