sentence_id	raw_text
semeval2013.d000.s000	U.N. group drafts plan to reduce emissions
semeval2013.d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .
semeval2013.d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .
semeval2013.d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .
semeval2013.d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .
semeval2013.d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .
semeval2013.d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .
semeval2013.d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''
semeval2013.d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .
semeval2013.d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .
semeval2013.d000.s010	The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .
semeval2013.d000.s011	Still , Friday featured the same sort of verbal fireworks that have dominated the talks for the past week .
semeval2013.d000.s012	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .
semeval2013.d000.s013	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago .
semeval2013.d000.s014	The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .
semeval2013.d000.s015	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the United States would not help China financially to cope with global warming .
semeval2013.d000.s016	With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .
semeval2013.d000.s017	The current battle is as much about saving individual economies as saving the planet , with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .
semeval2013.d000.s018	Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .
semeval2013.d000.s019	This is clearly a game where a new economic hegemony is being developed , said Ulate , who also serves as the regional Mexico and Central America climate change adviser for Conservation International .
semeval2013.d000.s020	Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .
semeval2013.d000.s021	The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .
semeval2013.d000.s022	Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .
semeval2013.d000.s023	The talks took on new urgency as delegates focused on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal .
semeval2013.d000.s024	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week .
semeval2013.d000.s025	The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .
semeval2013.d000.s026	The intensity is only building : nearly all of the key ministers are now here , and as early as Wednesday 60 heads of government will be in Copenhagen .
semeval2013.d000.s027	We 're getting into the big leagues , said Carlos Manuel Rodriguez , vice president for global policy at Conservation International .
semeval2013.d000.s028	The heavyweights are coming .
semeval2013.d001.s000	Baskonia gives away a victory in Israel
semeval2013.d001.s001	Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic 's team 's heavy losses , and after the great performance by Mizra Teltovic , who was the best on his team with eight three-pointers scored ( 29 points ) , they now at the top of their group .
semeval2013.d001.s002	The Vitorian team knew to make up for the significant absences of Herrmann , Oleson , Huertas and Micov with a big dose of involvement and teamwork , even though it had to hold out until the end to take the victory .
semeval2013.d001.s003	Additionally , their huge success from the sidelines , with 16 three pointers scored , had a lot to do with the final triumph .
semeval2013.d001.s004	The game started out in favor of the Azulgranas , who put themselves ahead on the scoreboard from the start .
semeval2013.d001.s005	As Vitora 's first four baskets were from the perimeter , the speculation was already that they had jumped into the Israeli net with hot wrists .
semeval2013.d001.s006	English and Teletovic were the main scorers of the 18-20 at the end of the first period .
semeval2013.d001.s007	The second quarter was more of the same , but the Alavan team opted for the inside game of Barac and the work of Eliyahu , who was greeted with whistles and applause at his return home , to continue increasing their lead by half-time ( 34-43 ) .
semeval2013.d001.s008	Teletovic had already begun to stand out as the best on his team with 13 points , even though Splitter 's `` six fewer '' points already signaled that it was n't going to be the best night for the Brazilian .
semeval2013.d001.s009	But the game , despite being headed for halftime , was not more decidedand the Maccabees tried to remind the Vitorians that not just anybody wins on their court , and with the ` hand of Elias ' putting the pressure on , they managed to get involved in the game .
semeval2013.d001.s010	Eidson and Pnini played a decisive role in the `` yellows ' '' return to the light .
semeval2013.d001.s011	More disadvantages
semeval2013.d001.s012	Ivanovic 's players , injured but far from dead , needed to run a couple of plays correctly before they could breathe , and that 's when the machine gun Marza Teletovic arrived , with three almost consecutive three-pointers and the help of English and Ribas , he brought the scoreboard back to a reassuring lead ( 54-67 ) , which the home team managed to narrow down at the end of the third quarter ( 57-67 ) .
semeval2013.d001.s013	The Alavas worked themselves to the bone in the last period , and English and San Emeterio ( 65-75 ) had already made it clear that they were not going to let anyone take away what they had earned during the first thirty minutes .
semeval2013.d001.s014	However , Pnini and Eidson , the best on their team , did not give up and tried to keep their team alive from the three-point line ( 70-77 ) .
semeval2013.d001.s015	In spite of this , and with Splitter fouling out , Ivonic 's team did n't rush , defended well , and , even though the Israelis came close at the last minute , the game was already won and victory escaped Tel Aviv for the first time in the season .
semeval2013.d002.s000	Wall Street closes without momentum , slowed by a strengthening dollar
semeval2013.d002.s001	The New York Stock Exchange closed with no particular heading on Friday , in a market torn between better than expected indicators in the United States and a strengthening dollar : the Dow Jones gained 0.63 % but the NASDAQ dropped 0.03 % .
semeval2013.d002.s002	According to final closing figures , the Dow Jones Industrial Average has risen by 65.67 points to 10 471.50 points , whereas the NASDAQ , with a technology predominance , fell by 0.55 point to 2 190.31 points .
semeval2013.d002.s003	The wider Standard &amp; Poor 's 500 has itself advanced by 0.37 % ( 4.06 points ) to 1 106.41 points .
semeval2013.d002.s004	Frankly , the market is very calm , observes Mace Blicksilver of Marblehead Asset Management .
semeval2013.d002.s005	It remains within a narrow margin ; trading volumes have become very weak , and I think that this will remain the case until the end of the year .
semeval2013.d002.s006	The trend was supported by the publication of better than expected economic indicators , which `` have contributed to improving market opinion in relation to the robustness of the economic recovery '' , summarised Charles Schwab 's analysts .
semeval2013.d002.s007	In the United States , retail sales have increased by 1.3 % in November , for the second month in a row , and far more than predicted .
semeval2013.d002.s008	Moreover , the confidence of American consumers has clearly bounced back in December , to 73.4 against 67.4 the previous month , according to preliminary estimates from Michigan University 's index .
semeval2013.d002.s009	The indices have , however , been slowed by a renewed rise of the dollar , to a new two-month high against the Euro , which `` puts downward pressure on the sectors that are sensitive to the economic situation '' , explained Owen Fitzpatrick from Deutsche Bank .
semeval2013.d002.s010	Technology securities have thereby lost some ground .
semeval2013.d002.s012	Treasury 10-year bond yields have grown to 3.540 % against 3.482 % on Tuesday evening , and 30-year bond yields are at 4.497 % against 4.492 % the previous evening .
semeval2013.d003.s000	Iraqi Oil Ministry reaches deals with 10 foreign oil companies
semeval2013.d003.s001	Despite concerns about violence and political instability , the Iraqi government managed to attract major oil companies to rebuild its ailing infrastructure during two auctions that concluded Saturday .
semeval2013.d003.s002	The 10 deals the Iraqi Oil Ministry reached with foreign oil companies suggest that China , Russia and European oil firms are poised to play a major role in refurbishing Iraq 's oil industry , crippled by decades of war and sanctions .
semeval2013.d003.s003	American companies walked away with stakes in just two of the 10 auctioned fields .
semeval2013.d003.s004	Seven American companies had paid to participate in the second auction , which began Friday .
semeval2013.d003.s005	The only one that submitted a bid lost .
semeval2013.d003.s006	Two American companies reached deals for fields auctioned in June .
semeval2013.d003.s007	The meager representation of American oil giants in Iraq 's opening oil industry surprised analysts .
semeval2013.d003.s008	Iraq finally opened its doors after six years of war , and instead of U.S. companies , you have Asians and Europeans leading the way , said Ruba Husari , the editor of Iraq Oil Forum , an online news outlet .
semeval2013.d003.s009	It will be a long time before anything else will be on offer in Iraq .
semeval2013.d003.s010	Concerns over security , underscored by massive coordinated bombings Tuesday , and political instability as the U.S. military withdraws , likely kept American oil companies from venturing more forcefully in Iraq , which has the world 's third-largest proven crude reserves , analysts said .
semeval2013.d003.s011	U.S. firms were in some cases at a disadvantage because rivals , particularly the Chinese and other government controlled energy firms , have markedly lower labor costs and are more prone to take risks because they do n't respond to shareholders .
semeval2013.d003.s012	Exxon-Mobil and Occidental Petroleum Inc. were the only American companies that reached deals with the ministry .
semeval2013.d003.s013	Major U.S. firms such as Chevron and ConocoPhillips , which have cultivated close ties with the Iraqi Oil Ministry and have provided technical advice in recent years , walked away empty-handed .
semeval2013.d003.s014	Russian companies Lukoil and Gazprom were the top stakeholders in two of the contracts awarded this weekend .
semeval2013.d003.s015	State-owned China National Petroleum Corporation bid on more contracts than any other company and walked away with large stakes in contracts for two major fields .
semeval2013.d003.s016	We all know that China is on track to become a major economic as well as technological power , Oil Ministry spokesman Assam Jihad said .
semeval2013.d003.s017	We feel confident that the Chinese company will be on par with its competitors and will deliver on its commitments towards Iraq .
semeval2013.d003.s018	Companies pre-selected to submit bids made offers that were then compared to the per barrel fee the ministry was willing to pay for boosting output above current levels at each field .
semeval2013.d004.s000	US banks repay state support
semeval2013.d004.s001	The crisis-hit US major banks are breaking free from their state shackles .
semeval2013.d004.s002	On Wednesday Bank of America repaid the support from the bank protection fund TARP in the amount USD 45 billion ( nearly EUR 30 billion ) in one go .
semeval2013.d004.s003	And , according to reports from US broadcaster CNBC , Citigroup is also planning to repay the state support .
semeval2013.d004.s004	The institutions thereby want to wiggle themselves free from the restrictions going hand-in-hand with the acceptance of the money , such as the limits on manager bonuses and the paying of high charges .
semeval2013.d004.s005	Bank of America had raised some USD 19 billion from investors through convertible loans .
semeval2013.d004.s006	The rest of the amount was taken from its own kitty , which was well filled through the sale of business units .
semeval2013.d004.s007	Bank head Kenneth Lewis extended his express thanks to the American taxpayer on Wednesday evening : The cash injection helped over a very difficult time .
semeval2013.d004.s008	The bank overstretched at the height of the financial crisis by taking over the investment bank Merrill Lynch .
semeval2013.d004.s009	Citigroup also plans to raise cash on the capital market to free itself from its liabilities with the state .
semeval2013.d004.s010	Already on Thursday , the US bank was able to announce a capital increase of some USD 20 billion , reported CNBC with reference to circles .
semeval2013.d004.s011	A Citigroup spokesman declined to comment .
semeval2013.d004.s012	Goldman Sachs , JP Morgan Chase and Morgan Stanley had already repaid their support in June .
semeval2013.d005.s000	Cheshire Appeal Will Point to Twitter
semeval2013.d005.s001	There were half a dozen of them typing away in the courtroom rows .
semeval2013.d005.s002	Minute by minute , they sent out reports of gruesome testimony via Twitter .
semeval2013.d005.s003	In the end , the defense says , there were more than 140,000 Twitter messages about the trial that dealt with rape and children tied to their beds in a house that was set ablaze .
semeval2013.d005.s004	On Thursday , the widely followed trial of Steven J. Hayes , who was convicted of killing three members of a Cheshire , Conn. , family , is set to come to an official end with the judge 's imposition of the death sentence voted for by the jury .
semeval2013.d005.s005	But lawyers for Mr. Hayes have already made court filings that sketch out appeals arguments that are likely to occupy the courts for years .
semeval2013.d005.s006	One of the most provocative is that the intense reporting on the trial - including mainstream reporters ' extensive use of Twitter - created a `` circus atmosphere '' and such widespread , instant saturation with inflammatory details that the jury was improperly swayed by public passions .
semeval2013.d005.s007	The claim could force appeals judges to grapple with the question of whether new technology requires new courtroom rules .
semeval2013.d005.s008	`` As I experienced it during this trial , I think there 's a real danger that the inclusion of new technology in the courtroom is affecting an individual 's fair-trial rights , '' said Thomas J. Ullmann , Mr. Hayes 's chief defense lawyer .
semeval2013.d005.s009	The trial judge , Jon C. Blue of State Superior Court , tersely rejected the claims in a ruling last week , saying that the news media were `` carefully controlled '' and that there was no evidence the jury was driven by passion .
semeval2013.d005.s010	But that is not likely to be the last word on the issue .
semeval2013.d005.s011	For decades , appeals courts have recognized that coverage of notorious cases can raise questions about a trial 's fairness .
semeval2013.d005.s012	In a landmark 1966 ruling , the United States Supreme Court overturned the conviction of a Cleveland osteopath , Dr. Sam Sheppard , for the murder of his wife , saying in its decision , Sheppard v. Maxwell , that there was a `` carnival atmosphere at trial '' because of the news media .
semeval2013.d005.s013	The crime is believed by some to have been the inspiration for the television show and the movie `` The Fugitive . ''
semeval2013.d005.s014	Some lawyers said appeals courts reviewing Mr. Hayes 's conviction half a century later might be intrigued by the argument that new rules could be necessary to govern ways of communicating from courtrooms unimagined at the time of Dr. Sheppard 's case .
semeval2013.d005.s015	`` There is a general reason for concern about the impact of the new media '' in high-profile trials , said John J. Donohue III , a Stanford Law School professor who studied the Connecticut death penalty and wrote a report that said it was arbitrarily enforced .
