instance_id	wn_id	bn_id	synset	lemmas	gloss
d000.s000.t000	group%1:03:00::	bn:00041942n	group.n.01	group, grouping	any number of entities (members) considered as a unit
d000.s000.t001	plan%1:09:00::	bn:00062759n	plan.n.01	plan, program, programme	a series of steps to be carried out or goals to be accomplished
d000.s000.t002	emission%1:27:00::	bn:00027473n	discharge.n.03	discharge, emission	a substance that is emitted or released
d000.s001.t000	climate%1:26:00::	bn:00019780n	climate.n.01	climate, clime	the weather in some location averaged over some long period of time
d000.s001.t001	conference%1:14:00::	bn:00021721n	conference.n.01	conference	a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)
d000.s001.t002	posturing%1:07:00::	bn:00063819n	posturing.n.01	posturing	adopting a vain conceited posture
d000.s001.t003	recrimination%1:10:00::	bn:00066603n	recrimination.n.01	recrimination	mutual accusations
d000.s001.t004	focus%1:09:00::	bn:00017153n	focus.n.01	focus, focusing, focussing, focal_point, direction, centering	the concentration of attention or energy on something
d000.s001.t005	friday%1:28:00::	bn:00036512n	friday.n.01	Friday, Fri	the sixth day of the week; the fifth working day
d000.s001.t006	release%1:22:00::	bn:00067024n	release.n.03	release	a process that liberates or discharges something
d000.s001.t007	document%1:10:00::	bn:00028015n	document.n.01	document, written_document, papers	writing that provides information (especially information of an official nature)
d000.s001.t008	reduction%1:04:00::	bn:00025780n	decrease.n.04	decrease, diminution, reduction, step-down	the act of decreasing or reducing something
d000.s001.t009	year%1:28:01::	bn:00078738n	year.n.01	year, twelvemonth, yr	a period of time containing 365 (or 366) days
d000.s001.t010	burden%1:09:01::	bn:00013941n	burden.n.01	burden, load, encumbrance, incumbrance, onus	an onerous or difficult concern
d000.s001.t011	term%1:28:00::	bn:00076588n	term.n.02	term	a limited period of time
d000.s002.t000	text%1:10:00::	bn:00076732n	text.n.01	text, textual_matter	the words of something written
d000.s002.t000	text%1:10:01::	bn:00076732n	text.n.04	text	the main body of a written work (as distinct from illustrations or footnotes etc.)
d000.s002.t001	basis%1:09:00::	bn:00008786n	basis.n.02	basis, base, foundation, fundament, groundwork, cornerstone	the fundamental assumptions from which something is begun or developed or calculated or explained
d000.s002.t002	deal%1:10:00::	bn:00008568n	bargain.n.01	bargain, deal	an agreement between parties (usually arrived at after discussion) fixing obligations of each
d000.s002.t003	greenhouse_gas%1:27:00::	bn:00041712n	greenhouse_gas.n.01	greenhouse_gas, greenhouse_emission	a gas that contributes to the greenhouse effect by absorbing infrared radiation
d000.s002.t004	obstacle%1:09:00::	bn:00058511n	obstacle.n.01	obstacle, obstruction	something immaterial that stands in the way and must be circumvented or surmounted
d000.s002.t005	path%1:04:00::	bn:00061005n	way.n.05	way, path, way_of_life	a course of conduct
d000.s003.t000	advance%1:11:01::	bn:00001549n	improvement.n.01	improvement, betterment, advance	a change for the better; progress in development
d000.s003.t001	negotiation%1:10:00::	bn:00026838n	negotiation.n.01	negotiation, dialogue, talks	a discussion intended to produce an agreement
d000.s003.t002	time%1:28:05::	bn:00077267n	time.n.02	time	a period of time considered as a resource under your control and sufficient to accomplish something
d000.s003.t003	world%1:05:00::	bn:00045153n	world.n.08	world, human_race, humanity, humankind, human_beings, humans, mankind, man	all of the living human inhabitants of the earth
d000.s003.t003	world%1:17:00::	bn:00029424n	earth.n.01	Earth, earth, world, globe	the 3rd planet from the sun; the planet we live on
d000.s003.t004	leader%1:18:00::	bn:00050371n	leader.n.01	leader	a person who rules or guides or inspires others
d000.s003.t005	copenhagen%1:15:00::	bn:00022479n	copenhagen.n.01	Copenhagen, Kobenhavn, Danish_capital	the capital and largest city of Denmark; located on the island of Zealand
d000.s003.t006	week%1:28:02::	bn:00014711n	week.n.03	week, calendar_week	a period of seven consecutive days starting on Sunday
d000.s004.t000	working_group%1:14:00::	bn:00081604n	working_group.n.01	working_group, working_party	a group of people working together temporarily until some goal is achieved
d000.s004.t001	text%1:10:00::	bn:00076732n	text.n.01	text, textual_matter	the words of something written
d000.s004.t001	text%1:10:01::	bn:00076732n	text.n.04	text	the main body of a written work (as distinct from illustrations or footnotes etc.)
d000.s004.t002	money%1:21:00::	bn:00055644n	money.n.01	money	the most common medium of exchange; functions as legal tender
d000.s004.t003	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s004.t004	one%1:09:00::	bn:00058969n	one.n.02	one	a single person or thing
d000.s004.t005	global_warming%1:22:00::	bn:00040681n	global_warming.n.01	global_warming	an increase in the average temperature of the earth's atmosphere (especially a sustained increase that causes climatic changes)
d000.s004.t006	term%1:28:00::	bn:00076588n	term.n.02	term	a limited period of time
d000.s005.t000	range%1:07:00::	bn:00003268n	scope.n.01	scope, range, reach, orbit, compass, ambit	an area in which something acts or operates or has power or control:
d000.s005.t001	option%1:09:00::	bn:00003132n	option.n.02	option, alternative, choice	one of a number of things from which only one can be chosen
d000.s005.t002	question%1:10:01::	bn:00043267n	question.n.02	question, head	the subject matter at issue
d000.s005.t003	upper_limit%1:23:00::	bn:00053933n	maximum.n.01	maximum, upper_limit	the largest possible quantity
d000.s005.t004	temperature%1:07:00::	bn:00076457n	temperature.n.01	temperature	the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
d000.s005.t005	rise%1:11:00::	bn:00067923n	rise.n.01	rise	a growth in strength or number or importance
d000.s006.t000	lot%1:23:00::	bn:00008985n	batch.n.02	batch, deal, flock, good_deal, great_deal, hatful, heap, lot, mass, mess, mickle, mint, mountain, muckle, passel, peck, pile, plenty, pot, quite_a_little, raft, sight, slew, spate, stack, tidy_sum, wad	(often followed by `of') a large number or amount or extent
d000.s006.t001	flexibility%1:07:01::	bn:00035190n	flexibility.n.02	flexibility, flexibleness	the quality of being adaptable or variable
d000.s006.t002	process%1:04:00::	bn:00064536n	procedure.n.01	procedure, process	a particular course of action intended to achieve a result
d000.s006.t003	washington%1:14:00::	bn:00015501n	capital.n.06	Capital, Washington	the federal government of the United States
d000.s006.t004	representative%1:18:02::	bn:00047203n	spokesperson.n.01	spokesperson, interpreter, representative, voice	an advocate who represents someone else's policy or purpose
d000.s007.t000	document%1:10:00::	bn:00028015n	document.n.01	document, written_document, papers	writing that provides information (especially information of an official nature)
d000.s007.t001	negotiation%1:10:00::	bn:00026838n	negotiation.n.01	negotiation, dialogue, talks	a discussion intended to produce an agreement
d000.s007.t002	text%1:10:00::	bn:00076732n	text.n.01	text, textual_matter	the words of something written
d000.s007.t002	text%1:10:01::	bn:00076732n	text.n.04	text	the main body of a written work (as distinct from illustrations or footnotes etc.)
d000.s007.t003	climate%1:26:00::	bn:00019780n	climate.n.01	climate, clime	the weather in some location averaged over some long period of time
d000.s007.t004	official%1:18:01::	bn:00036837n	official.n.01	official, functionary	a worker who holds or is invested with an office
d000.s007.t005	picture%1:26:00::	bn:00062275n	picture.n.04	picture, scene	a situation treated as an observable object
d000.s008.t000	outline%1:09:00::	bn:00059783n	outline.n.03	outline, schema, scheme	a schematic or preliminary plan
d000.s008.t001	deal%1:10:00::	bn:00008568n	bargain.n.01	bargain, deal	an agreement between parties (usually arrived at after discussion) fixing obligations of each
d000.s008.t002	emission%1:27:00::	bn:00027473n	discharge.n.03	discharge, emission	a substance that is emitted or released
d000.s008.t003	percent%1:24:00::	bn:00061135n	percentage.n.01	percentage, percent, per_centum, pct	a proportion in relation to a whole (which is usually the amount per hundred)
d000.s008.t004	level%1:26:00::	bn:00025966n	degree.n.02	degree, level, stage, point	a specific identifiable position in a continuum or series or especially in a process
d000.s008.t005	developing_country%1:14:00::	bn:00026694n	developing_country.n.01	developing_country	a country that is poor and whose citizens are mostly agricultural workers but that wants to become more advanced socially and economically
d000.s008.t006	period%1:28:00::	bn:00061605n	time_period.n.01	time_period, period_of_time, period	an amount of time
d000.s008.t007	percent%1:24:00::	bn:00061135n	percentage.n.01	percentage, percent, per_centum, pct	a proportion in relation to a whole (which is usually the amount per hundred)
